timestamp,station_id,anomaly_type,description
2026-08-28T18:35:05.422926,AWS_004,dropout,Reading dropped
2026-08-28T18:35:05.425604,AWS_009,frozen_value,Values frozen
2026-08-28T18:35:10.429663,AWS_004,dropout,Reading dropped
2026-08-28T18:35:10.432511,AWS_009,frozen_value,Values frozen
2026-08-28T18:35:10.434577,AWS_013,drift,Temperature drifted by 0.43
2026-08-28T18:35:15.437404,AWS_004,dropout,Reading dropped
2026-08-28T18:35:15.438650,AWS_006,drift,Temperature drifted by 0.44
2026-08-28T18:35:15.440215,AWS_009,frozen_value,Values frozen
2026-08-28T18:35:15.441367,AWS_013,drift,Temperature drifted by 0.68
2026-08-28T18:35:20.444759,AWS_006,drift,Temperature drifted by 0.54
2026-08-28T18:35:20.445981,AWS_009,frozen_value,Values frozen
2026-08-28T18:35:20.447330,AWS_013,drift,Temperature drifted by 0.94
2026-08-28T18:35:25.449407,AWS_002,spike,temperature spiked by 23.43
2026-08-28T18:35:25.451583,AWS_006,drift,Temperature drifted by 0.80
2026-08-28T18:35:25.452618,AWS_009,frozen_value,Values frozen
2026-08-28T18:35:25.453733,AWS_013,drift,Temperature drifted by 1.33
2026-08-28T18:35:30.543401,AWS_006,drift,Temperature drifted by 0.97
2026-08-28T18:35:30.672332,AWS_009,frozen_value,Values frozen
2026-08-28T18:35:30.781812,AWS_013,drift,Temperature drifted by 1.72
2026-08-28T18:35:35.891297,AWS_006,drift,Temperature drifted by 1.42
2026-08-28T18:35:35.938894,AWS_009,frozen_value,Values frozen
2026-08-28T18:35:36.001184,AWS_013,drift,Temperature drifted by 2.04
2026-08-28T18:35:41.093637,AWS_006,drift,Temperature drifted by 1.58
2026-08-28T18:35:41.122608,AWS_009,frozen_value,Values frozen
2026-08-28T18:35:41.166254,AWS_013,drift,Temperature drifted by 2.36
2026-08-28T18:35:46.222071,AWS_006,drift,Temperature drifted by 2.02
2026-08-28T18:35:46.237387,AWS_009,frozen_value,Values frozen
2026-08-28T18:35:46.277543,AWS_013,drift,Temperature drifted by 2.86
2026-08-28T18:35:51.317309,AWS_002,cross_parameter_inconsistency,Physically inconsistent state
2026-08-28T18:35:51.384804,AWS_006,drift,Temperature drifted by 2.33
2026-08-28T18:35:51.424427,AWS_009,frozen_value,Values frozen
2026-08-28T18:35:51.461774,AWS_013,drift,Temperature drifted by 3.13
2026-08-28T18:35:56.509738,AWS_006,drift,Temperature drifted by 2.56
2026-08-28T18:35:56.518489,AWS_009,frozen_value,Values frozen
2026-08-28T18:35:56.536119,AWS_013,drift,Temperature drifted by 3.48
2026-08-28T18:36:01.567478,AWS_006,drift,Temperature drifted by 2.99
2026-08-28T18:36:01.578825,AWS_009,frozen_value,Values frozen
2026-08-28T18:36:01.601255,AWS_013,drift,Temperature drifted by 3.90
2026-08-28T18:36:06.637522,AWS_003,drift,Temperature drifted by 0.43
2026-08-28T18:36:06.651891,AWS_006,drift,Temperature drifted by 3.31
